Agency Code,Product Number,Recommendation Target Agency/Organization,Engagement Code,Recommendation Text,Status Comments
019,GAO-12-361,Department of Energy,311064,"To assist the Department of Energy in protecting against IT supply chain threats, the Secretary of Energy should direct the appropriate agency officials to develop and document departmental policy that defines which security measures should be employed to protect against supply chain threats.", 
019,GAO-12-361,Department of Energy,311064,"To assist the Department of Energy in protecting against IT supply chain threats, the Secretary of Energy should direct the appropriate agency officials to develop and implement a monitoring capability to verify compliance with, and assess the effectiveness of, supply chain protection measures.", 
019,GAO-12-361,Department of Energy,311064,"To assist the Department of Energy in protecting against IT supply chain threats, the Secretary of Energy should direct the appropriate agency officials to develop, document, and disseminate procedures to implement the supply chain protection security measures defined in departmental policy.", 
024,GAO-12-361,Department of Homeland Security,311064,"To assist the Department of Homeland Security in protecting against IT supply chain threats, the Secretary of Homeland Security should direct the appropriate agency officials to develop and document departmental policy that defines which security measures should be employed to protect against supply chain threats.", 
024,GAO-12-361,Department of Homeland Security,311064,"To assist the Department of Homeland Security in protecting against IT supply chain threats, the Secretary of Homeland Security should direct the appropriate agency officials to develop and implement a monitoring capability to verify compliance with, and assess the effectiveness of, supply chain protection measures.", 
024,GAO-12-361,Department of Homeland Security,311064,"To assist the Department of Homeland Security in protecting against IT supply chain threats, the Secretary of Homeland Security should direct the appropriate agency officials to develop, document, and disseminate procedures to implement the supply chain protection security measures defined in departmental policy.", 
011,GAO-12-361,Department of Justice,311064,"To assist the Department of Justice in protecting against IT supply chain threats, the Attorney General should direct the appropriate agency officials to develop and implement a monitoring capability to verify compliance with, and assess the effectiveness of, supply chain protection measures.", 
011,GAO-12-361,Department of Justice,311064,"To assist the Department of Justice in protecting against IT supply chain threats, the Attorney General should direct the appropriate agency officials to develop, document, and disseminate procedures to implement the supply chain protection security measures defined in departmental policy.", 
015,GAO-11-587,Department of the Treasury: Internal Revenue Service,311219,"The Commissioner of Internal Revenue should direct the appropriate officials to ensure that the investment management guidance that is expected to be updated by the end of the fiscal year fully documents the preselect and select phases and the role of the Executive Review Team, and specifies the manner in which IT investment-related processes will be coordinated.", 
015,GAO-12-26,Department of the Treasury: Internal Revenue Service,311258,"To more accurately represent the work IRS is performing and provide Congress greater insight into the agency's performance in implementing BSM, the Commissioner of Internal Revenue should direct the Chief Technology Officer to modify IRS's definition of level of effort work to be consistent with the commonly accepted definition.", 
011,GAO-12-461,Department of Justice,311253,"To address action items in the IT Reform Plan where the agencies have fallen behind, the Secretaries of Homeland Security and Veterans Affairs and the Attorney General of the Department of Justice should direct their respective agency CIOs to complete elements missing from the agencies' plans for migrating services to a cloud computing environment, as applicable.","The agency agreed with our recommendation. At the time of our review, the agency&#39;s plan for moving CPIC to the cloud was missing a plan for retiring legacy systems. In addition, the agency replaced one of its &#34;must move&#34; cloud services with USMS WebTA--we have not yet seen the plan for moving this service to the cloud. We will continue to assess the agency&#39;s progress in implementing the recommendation."
015,GAO-12-26,Department of the Treasury: Internal Revenue Service,311258,"To more accurately represent the work IRS is performing and provide Congress greater insight into the agency's performance in implementing BSM, the Commissioner of Internal Revenue should direct the Chief Technology Officer to reclassify activities involving discrete work and accordingly report on associated performance data in future expenditure plans.", 
015,GAO-12-26,Department of the Treasury: Internal Revenue Service,311258,"To more accurately represent the work IRS is performing and provide Congress greater insight into the agency's performance in implementing BSM, the Commissioner of Internal Revenue should direct the Chief Technology Officer to, consistent with best practices, scrutinize any remaining LOE work exceeding 15 percent of the program's budget to look for opportunities to reduce the amount.", 
015,GAO-12-393,Department of the Treasury: Internal Revenue Service,311078,"In addition to implementing our previous recommendations, and to fully implement key components of the IRS comprehensive information security program, the Commissioner of Internal Revenue should implement a compliance verification application to ensure appropriate security patches have been applied in the UNIX environment.",Action pending
015,GAO-12-393,Department of the Treasury: Internal Revenue Service,311078,"In addition to implementing our previous recommendations, and to fully implement key components of the IRS comprehensive information security program, the Commissioner of Internal Revenue should implement a compliance verification application, or other appropriate process, to ensure configuration policies are comprehensively tested on the mainframe.",Action pending
016,GAO-12-495,Social Security Administration,310965,"To address the challenges facing SSA's IT modernization efforts, the Commissioner of Social Security should direct the Deputy Commissioner for Systems/Chief Information Officer to ensure that performance measures in each of OMB's four measurement areas are defined for ongoing IT modernization initiatives and, as appropriate, (1) identify how each investment is to contribute to expected benefits; (2) measure the effectiveness in meeting the goals, requirements, and mission results; and (3) provide a means for measuring projects' progress in meeting modernization goals.", 
016,GAO-12-495,Social Security Administration,310965,"To address the challenges facing SSA's IT modernization efforts, the Commissioner of Social Security should direct the Deputy Commissioner for Systems/Chief Information Officer to establish an enterprise architecture plan that includes key components called for by federal guidelines and GAO's enterprise architecture management framework, to effectively guide modernization activities. The plan should include (1) development of a service-oriented architecture road map that guides modernization activities and helps ensure the agency achieves its stated service-oriented architecture goals, such as better business agility and reduced systems development and maintenance costs; (2) development of an enterprise gap analysis that identifies the differences between the current and target environment in all related architecture products; (3) performance targets for the future environment, including interim milestones; and (4) descriptions of relationships among the business processes in terms of information.", 
016,GAO-12-495,Social Security Administration,310965,"To address the challenges facing SSA's IT modernization efforts, the Commissioner of Social Security should direct the Deputy Commissioner for Systems/Chief Information Officer to, as appropriate, define roles and responsibilities of realigned staff and develop and clearly document updated investment review guidance and procedures to ensure that oversight reviews will be effective in evaluating and controlling investments.", 
016,GAO-12-495,Social Security Administration,310965,"To address the challenges facing SSA's IT modernization efforts, the Commissioner of Social Security should direct the Deputy Commissioner for Systems/Chief Information Officer to, in updating the IT strategic plan to support the 2013-2016 Agency Strategic Plan, include key elements-such as results-oriented goals, strategies, milestones, performance measures, and an analysis of interdependencies among projects and activities-and use this plan to guide and coordinate IT modernization projects and activities.", 
006,GAO-12-576,Department of Commerce,311257,"To improve NOAA's ability to execute GOES-R's remaining planned development with appropriate reserves, improve the reliability of its schedules, and address identified program risks, the Secretary of Commerce should direct the NOAA Administrator to assess and report to the NOAA Program Management Council the reserves needed for completing remaining development for each satellite in the series.","While the program has expanded its reporting of contingency reserve information to the Program Management Council (PMC), the information reported at monthly PMC meetings still does not include contingency reserves broken out for each satellite in the GOES-R series."
006,GAO-12-576,Department of Commerce,311257,"To improve NOAA's ability to execute GOES-R's remaining planned development with appropriate reserves, improve the reliability of its schedules, and address identified program risks, the Secretary of Commerce should direct the NOAA Administrator to, for all satellites in the GOES-R program, including those for which detailed scheduling has yet to begin, address shortfalls in the schedule management practices we identified, including but not limited to incorporating appropriate schedule logic, eliminating unnecessary constraints, creating a realistic allocation of resources, ensuring an unbroken critical path from the current date to the final satellite launch, and ensuring that all subcontractor activities are incorporated in contractors' integrated master schedules.","The GOES-R series program has made improvements to its scheduling management practices. For example, all subcontractor activities are now included in the core ground schedule and there is a higher percentage of activities allocated to individual resources in the spacecraft schedule. Overall, the primary schedules for the program&#39;s ground and flight project showed improvement in four and two best practices areas, respectively. In late 2013, the program also identified further actions to ensure appropriate schedule logic, including monthly &#34;health checks&#34; and faster elimination of unnecessary constraints. However, the program has not yet provided details showing a realistic allocation of resources, nor has it demonstrated that it has addressed shortfalls in other component schedules. We will continue to monitor the agency&#39;s progress in addressing this recommendation."
009,GAO-12-605,Department of Health and Human Services,311073,"To improve the department's guidance and oversight efforts for ensuring the privacy and security of protected health information, including Medicare beneficiaries' prescription drug use information, the Secretary of HHS should direct the Director of the Office for Civil Rights to establish plans for conducting periodic audits to ensure covered entities and business associates are complying with the HIPAA Privacy and Security Rules and breach notification standards.", 
009,GAO-12-605,Department of Health and Human Services,311073,"To improve the department's guidance and oversight efforts for ensuring the privacy and security of protected health information, including Medicare beneficiaries' prescription drug use information, the Secretary of HHS should direct the Director of the Office for Civil Rights to issue guidance on properly implementing the HIPAA Privacy Rule requirements for the de-identification of protected health information.", 
005,GAO-12-629,Department of Agriculture,311245,"To address weaknesses identified in the Department of Agriculture's policies for cost estimating, we recommend that the Secretary of Agriculture direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
005,GAO-12-629,Department of Agriculture,311245,"To address weaknesses identified in the Department of Agriculture's practices for cost estimating, we recommend that the Secretary of Agriculture direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
006,GAO-12-629,Department of Commerce,311245,"To address weaknesses identified in the Department of Commerce's policies for cost estimating, we recommend that the Secretary of Commerce direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
006,GAO-12-629,Department of Commerce,311245,"To address weaknesses identified in the Department of Commerce's practices for cost estimating, we recommend that the Secretary of Commerce direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
007,GAO-12-629,Department of Defense,311245,"To address weaknesses identified in the Department of Defense's practices for cost estimating, we recommend that the Secretary of Defense should direct responsible officials to update future life-cycle cost estimates of the Tactical Mission Command program using cost-estimating practices that address the detailed weaknesses that we identified.", 
024,GAO-12-629,Department of Homeland Security,311245,"To address weaknesses identified in the Department of Homeland Security's policies for cost estimating, we recommend that the Secretary of Homeland Security direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
024,GAO-12-629,Department of Homeland Security,311245,"To address weaknesses identified in the Department of Homeland Security's practices for cost estimating, we recommend that the Secretary of Homeland Security direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
011,GAO-12-629,Department of Justice,311245,"To address weaknesses identified in the Department of Justice's policies for cost estimating, we recommend that the Attorney General direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
011,GAO-12-629,Department of Justice,311245,"To address weaknesses identified in the Department of Justice's practices for cost estimating, we recommend that the Attorney General direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
012,GAO-12-629,Department of Labor,311245,"To address weaknesses identified in the Department of Labor's policies for cost estimating, we recommend that the Secretary of Labor direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
012,GAO-12-629,Department of Labor,311245,"To address weaknesses identified in the Department of Labor's practices for cost estimating, we recommend that the Secretary of Labor direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
029,GAO-12-629,Department of Veterans Affairs,311245,"To address weaknesses identified in the Department of Veterans Affairs' policies for cost estimating, we recommend that the Secretary of Veterans Affairs direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
029,GAO-12-629,Department of Veterans Affairs,311245,"To address weaknesses identified in the Department of Veterans Affairs' practices for cost estimating, we recommend that the Secretary of Veterans Affairs direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
020,GAO-12-629,Environmental Protection Agency,311245,"To address weaknesses identified in the Environmental Protection Agency's policies for cost estimating, we recommend that the Administrator of the Environmental Protection Agency direct responsible officials to modify policies governing cost estimating to ensure that they address the weaknesses that we identified.", 
020,GAO-12-629,Environmental Protection Agency,311245,"To address weaknesses identified in the Environmental Protection Agency's practices for cost estimating, we recommend that Administrator of the Environmental Protection Agency direct responsible officials to update future life-cycle cost estimates of the system acquisition programs discussed in this report using cost-estimating practices that address the detailed weaknesses that we identified.", 
015,GAO-13-350,Department of the Treasury: Internal Revenue Service,311300,"To effectively implement key components of the IRS information security program, the Acting Commissioner of Internal Revenue should fully document a continuous monitoring strategy that includes requirements and activities definitions at each organizational tier.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information. "
015,GAO-13-350,Department of the Treasury: Internal Revenue Service,311300,"To effectively implement key components of the IRS information security program, the Acting Commissioner of Internal Revenue should update mainframe test and evaluation processes to improve periodic monitoring of compliance with IRS policies.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information. "
007,GAO-12-685,Department of Defense,310975,"To ensure that DOD continues to implement the full range of institutional management controls needed to address its business systems modernization high-risk area, the Secretary of Defense should ensure that the Deputy Secretary of Defense, as the department's Chief Management Officer, establish a policy that clarifies the roles, responsibilities, and relationships among the Chief Management Officer, Deputy Chief Management Officer, DOD and military department Chief Information Officers, Principal Staff Assistants, military department Chief Management Officers, and the heads of the military departments and defense agencies, associated with the development of a federated business enterprise architecture (BEA). Among other things, the policy should address the development and implementation of an overarching taxonomy and associated ontologies to help ensure that each of the respective portions of the architecture will be properly linked and aligned. In addition, the policy should address alignment and coordination of business process areas, military department and defense agency activities associated with developing and implementing each of the various components of the BEA, and relationships among these entities.","The Deputy Chief Management Officer (DCMO) approved the Business Enterprise Architecture (BEA) Configuration Control Board (CCB) charter on August 19, 2013. The charter specifies roles and responsibilities for the review and approval of proposed BEA content. However, the charter does not clarify the roles, responsibilities, and relationships among the Chief Management Officer, DCMO, Department of Defense (DOD) and military department Chief Information Officers (CIO), Principal Staff Assistants, military department Chief Management Officers, and the heads of the military departments and defense agencies, associated with the development of a federated BEA. According to DOD officials, the DOD CIO is drafting an enterprise architecture (EA) directive that is to specify the roles, responsibilities and policy associated with the development, review, approval, and use of EA across the department. According to the Director of Investment and Acquisition Management in the Office of the DCMO, final decisions about how this directive will be implemented have not yet been made. In addition, existing and future responsibilities may shift as a result of planned organizational changes. Specifically, on December 4, 2013, the Secretary of Defense issued a memorandum that outlined the results of an organizational review completed by the Office of the Secretary of Defense. Among other things, the Secretary called for strengthening the office of the DOD CIO by moving the oversight of business systems from the DCMO to the CIO, and for strengthening the Office of the DCMO to better coordinate the department&#39;s business affairs. Until the Department finalizes implementation plans for this reorganization, it will be challenged in taking needed steps to clarify the roles, responsibilities, and relationships among the various entities associated with the development of a federated BEA."
007,GAO-12-685,Department of Defense,310975,"To ensure that annual budget submissions are based on complete and accurate information, the Secretary of Defense should direct the appropriate DOD organizations to establish a deadline by which it intends to complete the integration of the repositories and validate the completeness and reliability of information.","The Department of Defense (DOD) has taken steps to address this recommendation. For example, the department has been integrating information contained in its system data repositories by developing and implementing the DOD Information Technology Investment Portal (DITIP). DITIP is now the authoritative source for DOD header (i.e., basic) information about information technology (IT) systems and is to serve as a one stop source for all IT investment portfolio information. More specifically, the system maintains a core database composed of common DOD IT Portfolio Repository (DITPR) and Select and Native Programming Data Input System - Information Technology (SNAP-IT) data elements as well as essential data elements required for initial registration of DOD IT systems (e.g., investment title, mission area, etc.). According to DOD, the portal addresses common data errors and integrates data between the portal and the DITPR and SNAP-IT system data repositories. In addition, DCMO&#39;s fiscal year 2014 investment management guidance included language indicating that the component Pre-Certification Authority is to assert that information contained in DITPR, DITIP, and SNAP-IT has been verified to be complete and accurate prior to any system&#39;s certification to spend appropriated funds. While this new approach has allowed DOD to improve certain information about its business system certification and approvals, other information needs continued improvement. Specifically, data contained in DITPR is not always consistent with DITIP and SNAP-IT. DOD officials stated that they plan to conduct a data validation process intended to align and reconcile the data common to DITPR and SNAP-IT via DITIP, but have not provided evidence that this validation process has been completed."
007,GAO-12-685,Department of Defense,310975,"To facilitate congressional oversight and promote departmental accountability, the Secretary of Defense should ensure that the Deputy Secretary of Defense, as the department's Chief Management Officer, direct the Deputy Chief Management Officer to include in DOD's annual report to Congress on compliance with 10 U.S.C. &#167; 2222, an update on the office of the DCMO's progress toward filling staff positions and the impact of any unfilled positions on the ability of the office to conduct its work.","According to the Office of the Deputy Chief Management Officer, the department does not concur with this recommendation and has not developed plans or a means by which to report on the status of filling staff positions and the impact of any unfilled positions on the ability of the office to conduct its work."
007,GAO-12-685,Department of Defense,310975,"To facilitate congressional oversight and promote departmental accountability, the Secretary of Defense should ensure that the Deputy Secretary of Defense, as the department's Chief Management Officer, direct the Deputy Chief Management Officer to include in DOD's annual report to Congress on compliance with 10 U.S.C. &#167; 2222, the results of the department's business process reengineering (BPR) efforts. Among other things, the results should include the department's determination of the number of systems that have undergone material process changes, the number of interfaces eliminated as part of these efforts (i.e., by program, by name), and the status of its end-to-end business process reengineering efforts.","The Office of the Deputy Chief Management Officer&#39;s (DCMO) March 2014 annual report to Congress included some information about its business process reengineering efforts, but the report did not include the information called for by our recommendation. More specifically, the department&#39;s report to Congress stated that the department applied lessons learned to conduct business process reengineering assessments during the business system certification process. Further, according to the report, the Defense Business Council validated a sample of business process reengineering assessments submitted with fiscal year 2013 organizational execution plans as well as business process reengineering assessments concurrent with the review of fiscal year 2014 certification requests. The report also summarized the results of the validations, showing that the majority were incomplete and required additional work to comply with the department&#39;s business process reengineering requirements. While the department&#39;s annual report included information about the results of business process reengineering validations, the Office of the DCMO has not yet reported on measures such as the number of systems that have undergone material process changes, the number of interfaces eliminated, and the status of end-to-end business process reengineering efforts. According to officials from the Office of the DCMO, the business process reengineering process is still evolving and the Office of the DCMO will determine the best method to publish the results when they are available."
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to conduct testing of management, operational, and technical controls, based on risks, to occur no less than annually, for the clean air markets division system identified.",EPA&#39;s actions on this recommendation are ongoing.
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to finalize the 17 agencywide interim information security policies and draft procedures.",EPA&#39;s actions on this recommendation are ongoing.
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to implement an agencywide, uniform method for approving contingency plans.",EPA&#39;s actions on this recommendation are ongoing.
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to implement procedures to verify the accuracy of system inventory information.",EPA&#39;s actions on this recommendation are ongoing.
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to include current National Institute of Standards and Technology (NIST) Special Publication 800-53 guidance in system security plans.",EPA&#39;s actions on this recommendation are ongoing.
020,GAO-12-696,Environmental Protection Agency,311088,"To help establish an effective and comprehensive information security program for EPA's information and information systems, the Administrator of EPA should direct the Assistant Administrator for the Office of Environmental Information to update system security plans to reflect current policies and procedures.",EPA&#39;s actions on this recommendation are ongoing.
015,GAO-13-350,Department of the Treasury: Internal Revenue Service,311300,"To effectively implement key components of the IRS information security program, the Acting Commissioner of Internal Revenue should update policies and procedures to ensure that they address (1) both methods available for granting all users access to mainframe resources, (2) audit and monitoring of access from one processing environment to another, (3) use of appropriate accounts by multiple databases on a single server, (4) data storage shared between systems, (5) out-of-date security standards, and (6) reconciliation of access privileges.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information."
005,GAO-12-756,Department of Agriculture,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
005,GAO-12-756,Department of Agriculture,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective chief information officer (CIOs) to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
009,GAO-12-756,Department of Health and Human Services,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
009,GAO-12-756,Department of Health and Human Services,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
024,GAO-12-756,Department of Homeland Security,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
024,GAO-12-756,Department of Homeland Security,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
014,GAO-12-756,Department of State,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
014,GAO-12-756,Department of State,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
015,GAO-12-756,Department of the Treasury,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
015,GAO-12-756,Department of the Treasury,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
023,GAO-12-756,General Services Administration,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
023,GAO-12-756,General Services Administration,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
028,GAO-12-756,Small Business Administration,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to develop, at a minimum, estimated costs, milestones, performance goals, and plans for retiring legacy systems, as applicable, for planned additional cloud-based services.", 
028,GAO-12-756,Small Business Administration,311266,"To help ensure the success of agencies' implementation of cloud-based solutions, the Secretaries of Agriculture, Health and Human Services, Homeland Security, State, and the Treasury; and the Administrators of the General Services Administration and Small Business Administration should direct their respective CIOs to establish estimated costs, performance goals, and plans to retire associated legacy systems for each cloud-based service discussed in this report, as applicable.", 
015,GAO-13-350,Department of the Treasury: Internal Revenue Service,311300,"To effectively implement key components of the IRS information security program, the Acting Commissioner of Internal Revenue should update test and evaluation methodology to ensure that it determines whether authentication controls are operating effectively.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information. "
015,GAO-13-401,Department of the Treasury: Internal Revenue Service,311269,"To improve the reliability of reported cost and schedule variance information for the seven major investments we reviewed, the Acting Commissioner of IRS should direct the Chief Technology Officer to develop and implement guidance that specifies best practices--such as including evaluating critical path (for projected schedule), using earned value management data, evaluating the performance of completed work and comparing it to the remaining budget, assessing commitment values for material needed to complete remaining work, and estimating future conditions--to consider when determining projected cost and schedule amounts.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information. "
015,GAO-13-401,Department of the Treasury: Internal Revenue Service,311269,"To improve the reliability of reported cost and schedule variance information for the seven major investments we reviewed, the Acting Commissioner of IRS should direct the Chief Technology Officer to ensure projects consistently follow guidelines for updating performance information 60 days after completion of an activity.","When we confirm what actions the agency has taken in response to this recommendation, we will provide updated information. "
005,GAO-12-791,Department of Agriculture,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of Agriculture has begun to take steps to address our recommendation. In May 2013, the department submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included metrics associated with potential outcomes related to its enterprise architecture efforts, such as the percentage of department investments using shared services. However, the department has yet to establish a documented method for measuring enterprise architecture outcomes. The Office of Management and Budget has requested that agencies provide an updated Enterprise Roadmap to the office no later than 2 weeks after the transmittal of the President's Budget for Fiscal Year 2015, and the Department of Agriculture Inspector General stated in April 2013 that the department intends to comply with guidance issued by the Office of Management and Budget associated with measuring enterprise architecture program outcomes. "
005,GAO-12-791,Department of Agriculture,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of Agriculture has yet to implement this recommendation. In May 2013, the department submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included metrics associated with potential outcomes related to its enterprise architecture efforts. However, the department has yet to measure and report specific enterprise architecture outcomes and benefits. The Office of Management and Budget has requested that agencies provide an updated Enterprise Roadmap to the office no later than 2 weeks after the transmittal of the President's Budget for Fiscal Year 2015, and the Department of Agriculture Inspector General stated in April 2013 that the department intends to comply with guidance issued by the Office of Management and Budget associated with measuring enterprise architecture program outcomes. "
